,id,title,price,description,discountPercentage,rating,stock,brand,category,thumbnail
0,1,Essence Mascara Lash Princess,9.99,The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.,10.48,2.56,99,Essence,beauty,https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/thumbnail.webp
1,2,Eyeshadow Palette with Mirror,19.99,"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.",18.19,2.86,34,Glamour Beauty,beauty,https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/thumbnail.webp
2,3,Powder Canister,14.99,"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.",9.84,4.64,89,Velvet Touch,beauty,https://cdn.dummyjson.com/product-images/beauty/powder-canister/thumbnail.webp
3,4,Red Lipstick,12.99,"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.",12.16,4.36,91,Chic Cosmetics,beauty,https://cdn.dummyjson.com/product-images/beauty/red-lipstick/thumbnail.webp
4,5,Red Nail Polish,8.99,"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.",11.44,4.32,79,Nail Couture,beauty,https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/thumbnail.webp
5,6,Calvin Klein CK One,49.99,"CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.",1.89,4.37,29,Calvin Klein,fragrances,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/thumbnail.webp
6,7,Chanel Coco Noir Eau De,129.99,"Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.",16.51,4.26,58,Chanel,fragrances,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/thumbnail.webp
7,8,Dior J'adore,89.99,"J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.",14.72,3.8,98,Dior,fragrances,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/thumbnail.webp
8,9,Dolce Shine Eau de,69.99,"Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.",0.62,3.96,4,Dolce & Gabbana,fragrances,https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/thumbnail.webp
9,10,Gucci Bloom Eau de,79.99,"Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.",14.39,2.74,91,Gucci,fragrances,https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/thumbnail.webp
10,11,Annibale Colombo Bed,1899.99,"The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.",8.57,4.77,88,Annibale Colombo,furniture,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/thumbnail.webp
